ten_power_0,ten_power_1,ten_power_2,ten_power_3,ten_power_4,ten_power_5,ten_power_6,sum_digits,digital_root,product_digits,last_two_digits,prime,number
9,6,8,2,9,5,5,44,8,194400,69,1,5592869
1,6,9,0,1,3,5,25,7,0,61,1,5310961
3,1,9,9,4,0,9,35,8,0,13,1,9049913
3,1,0,9,6,3,9,31,4,0,13,1,9369013
1,7,7,0,8,1,5,29,2,0,71,1,5180771
1,6,0,5,5,1,1,19,1,0,61,1,1155061
3,4,4,4,1,6,1,23,5,1152,43,1,1614443
1,6,7,2,0,4,2,22,4,0,61,1,2402761
9,0,7,6,6,1,9,38,2,0,9,1,9166709
1,2,5,7,4,5,8,32,5,11200,21,1,8547521
9,6,2,5,1,0,2,25,7,0,69,1,2015269
7,3,3,3,3,9,6,34,7,30618,37,1,6933337
3,0,9,6,6,3,8,35,8,0,3,1,8366903
7,9,1,5,8,0,8,38,2,0,97,1,8085197
9,7,5,4,8,4,7,44,8,282240,79,1,7484579
1,9,6,1,2,9,7,35,8,6804,91,1,7921691
3,1,2,7,7,4,2,26,8,2352,13,1,2477213
3,6,8,2,6,0,3,28,1,0,63,1,3062863
1,0,9,0,7,9,9,35,8,0,1,1,9970901
3,7,8,3,2,1,5,29,2,5040,73,1,5123873
1,9,8,9,5,9,6,47,2,174960,91,1,6959891
9,3,2,4,0,6,5,29,2,0,39,1,5604239
9,1,3,0,0,6,9,28,1,0,19,1,9600319
7,2,2,2,1,0,3,17,8,0,27,1,3012227
9,1,8,1,4,1,5,29,2,1440,19,1,5141819
7,2,3,1,6,0,6,25,7,0,27,1,6061327
3,3,0,5,2,8,2,23,5,0,33,1,2825033
3,2,9,2,5,5,8,34,7,21600,23,1,8552923
7,2,8,5,7,1,4,34,7,15680,27,1,4175827
3,6,5,1,5,9,8,37,1,32400,63,1,8951563
3,2,9,9,1,3,8,35,8,11664,23,1,8319923
7,3,3,1,7,0,1,22,4,0,37,1,1071337
3,3,5,6,0,1,8,26,8,0,33,1,8106533
1,1,3,7,6,1,4,23,5,504,11,1,4167311
3,9,1,3,9,9,1,35,8,6561,93,1,1993193
7,8,0,1,4,9,5,34,7,0,87,1,5941087
1,7,8,5,6,0,7,34,7,0,71,1,7065871
7,4,4,7,0,1,2,25,7,0,47,1,2107447
7,4,4,4,6,5,2,32,5,26880,47,1,2564447
9,4,5,2,7,6,7,40,4,105840,49,1,7672549
9,3,8,3,6,4,5,38,2,77760,39,1,5463839
1,8,0,1,8,6,4,28,1,0,81,1,4681081
7,5,4,4,5,6,7,38,2,117600,57,1,7654457
1,9,2,6,9,6,5,38,2,29160,91,1,5696291
