ten_power_0,ten_power_1,ten_power_2,ten_power_3,ten_power_4,ten_power_5,ten_power_6,sum_digits,digital_root,product_digits,last_two_digits,prime,number
3,6,1,4,0,8,6,28,1,0,63,1,6804163
1,2,3,3,1,0,9,19,1,0,21,1,9013321
9,2,6,2,8,6,7,40,4,72576,29,1,7682629
3,4,3,0,0,3,3,16,7,0,43,1,3300343
7,9,8,8,1,2,2,37,1,16128,97,1,2218897
3,0,7,5,4,9,3,31,4,0,3,1,3945703
9,5,3,4,6,7,3,37,1,68040,59,1,3764359
1,2,2,0,7,7,4,23,5,0,21,1,4770221
9,2,9,2,4,1,7,34,7,9072,29,1,7142929
7,6,0,1,8,1,5,28,1,0,67,1,5181067
1,6,6,8,2,5,1,29,2,2880,61,1,1528661
3,0,0,1,4,5,1,14,5,0,3,1,1541003
7,1,4,5,2,5,2,26,8,2800,17,1,2525417
3,1,5,1,1,6,2,19,1,180,13,1,2611513
7,5,2,6,0,0,6,26,8,0,57,1,6006257
9,5,9,8,1,8,9,49,4,233280,59,1,9818959
9,9,4,9,6,1,2,40,4,34992,99,1,2169499
1,2,9,6,6,8,2,34,7,10368,21,1,2866921
9,3,2,5,4,7,1,31,4,7560,39,1,1745239
3,1,1,0,4,3,1,13,4,0,13,1,1340113
3,3,6,6,2,1,7,28,1,4536,33,1,7126633
9,3,0,2,2,5,8,29,2,0,39,1,8522039
7,9,1,8,0,4,6,35,8,0,97,1,6408197
7,3,2,1,5,7,4,29,2,5880,37,1,4751237
1,7,3,2,4,1,7,25,7,1176,71,1,7142371
1,2,0,8,8,8,5,32,5,0,21,1,5888021
9,6,2,4,2,7,2,32,5,12096,69,1,2724269
1,4,4,4,2,1,3,19,1,384,41,1,3124441
9,8,7,8,1,9,4,46,1,145152,89,1,4918789
1,6,6,8,6,7,4,38,2,48384,61,1,4768661
7,7,0,7,8,5,1,35,8,0,77,1,1587077
3,3,1,5,8,5,7,32,5,12600,33,1,7585133
3,9,8,5,1,4,8,38,2,34560,93,1,8415893
1,5,4,3,2,7,1,23,5,840,51,1,1723451
3,2,4,7,2,9,4,31,4,12096,23,1,4927423
1,0,5,4,5,9,8,32,5,0,1,1,8954501
7,1,9,9,1,4,3,34,7,6804,17,1,3419917
1,0,1,4,9,9,8,32,5,0,1,1,8994101
1,7,6,2,3,0,9,28,1,0,71,1,9032671
9,2,9,3,8,2,7,40,4,54432,29,1,7283929
3,4,4,3,6,3,5,28,1,12960,43,1,5363443
7,6,4,3,7,4,7,38,2,98784,67,1,7473467
9,0,6,1,8,4,6,34,7,0,9,1,6481609
7,9,0,7,9,7,1,40,4,0,97,1,1797097
9,5,5,6,1,2,1,29,2,2700,59,1,1216559
9,7,3,8,9,7,9,52,7,857304,79,1,9798379
3,6,6,7,5,5,5,37,1,94500,63,1,5557663
3,9,8,0,5,9,3,37,1,0,93,1,3950893
9,5,8,2,9,4,1,38,2,25920,59,1,1492859
3,5,1,0,3,7,4,23,5,0,53,1,4730153
3,2,6,0,5,7,5,28,1,0,23,1,5750623
3,0,8,1,0,5,2,19,1,0,3,1,2501803
3,9,4,1,7,6,7,37,1,31752,93,1,7671493
3,7,8,9,9,0,8,44,8,0,73,1,8099873
7,4,5,1,1,3,8,29,2,3360,47,1,8311547
1,5,9,0,5,3,9,32,5,0,51,1,9350951
7,2,5,7,4,9,1,35,8,17640,27,1,1947527
9,2,0,1,7,1,8,28,1,0,29,1,8171029
3,7,0,3,1,6,9,29,2,0,73,1,9613073
3,5,5,3,9,9,1,35,8,18225,53,1,1993553
3,2,2,6,7,7,1,28,1,3528,23,1,1776223
1,9,6,8,3,0,1,28,1,0,91,1,1038691
7,6,4,0,7,5,2,31,4,0,67,1,2570467
9,8,4,9,8,3,8,49,4,497664,89,1,8389489
9,2,1,3,1,3,4,23,5,648,29,1,4313129
7,4,8,1,6,5,3,34,7,20160,47,1,3561847
9,9,9,3,3,6,4,43,7,157464,99,1,4633999
3,7,1,5,9,9,7,41,5,59535,73,1,7995173
7,8,1,1,6,8,6,37,1,16128,87,1,6861187
1,6,9,7,3,0,8,34,7,0,61,1,8037961
3,1,5,3,6,7,9,34,7,17010,13,1,9763513
3,4,2,4,5,8,5,31,4,19200,43,1,5854243
1,0,4,5,8,1,9,28,1,0,1,1,9185401
1,4,8,4,1,1,9,28,1,1152,41,1,9114841
1,0,9,0,0,0,4,14,5,0,1,1,4000901
7,0,3,4,5,8,4,31,4,0,7,1,4854307
1,6,6,8,5,6,2,34,7,17280,61,1,2658661
7,9,3,8,6,3,5,41,5,136080,97,1,5368397
3,3,6,2,8,9,1,32,5,7776,33,1,1982633
7,3,2,7,5,0,1,25,7,0,37,1,1057237
1,9,9,6,3,1,8,37,1,11664,91,1,8136991
3,6,5,8,9,3,7,41,5,136080,63,1,7398563
9,7,5,0,0,2,5,28,1,0,79,1,5200579
3,7,4,3,9,3,9,38,2,61236,73,1,9393473
9,6,3,8,5,7,6,44,8,272160,69,1,6758369
3,9,6,8,9,8,1,44,8,93312,93,1,1898693
7,8,3,3,0,4,6,31,4,0,87,1,6403387
3,9,0,7,0,0,6,25,7,0,93,1,6007093
3,9,3,0,2,5,4,26,8,0,93,1,4520393
1,8,2,5,5,4,3,28,1,4800,81,1,3455281
1,5,4,6,9,5,1,31,4,5400,51,1,1596451
9,5,6,6,4,4,3,37,1,77760,59,1,3446659
1,4,9,0,8,6,4,32,5,0,41,1,4680941
1,8,0,9,2,3,9,32,5,0,81,1,9329081
7,6,8,0,7,4,3,35,8,0,67,1,3470867
7,7,7,3,8,7,7,46,1,403368,77,1,7783777
3,6,7,6,6,7,2,37,1,63504,63,1,2766763
7,3,1,6,5,5,5,32,5,15750,37,1,5556137
7,0,8,5,8,3,4,35,8,0,7,1,4385807
3,8,7,0,4,3,4,29,2,0,83,1,4340783
3,7,4,0,2,0,9,25,7,0,73,0,9020473
7,4,1,3,4,3,1,23,5,1008,47,0,1343147
7,7,4,3,9,9,3,42,6,142884,77,0,3993477
9,9,9,4,6,8,5,50,5,699840,99,0,5864999
7,2,8,0,1,0,9,27,9,0,27,0,9010827
3,0,4,4,9,5,9,34,7,0,3,0,9594403
1,1,4,3,7,3,5,24,6,1260,11,0,5373411
9,7,9,1,7,0,3,36,9,0,79,0,3071979
7,8,4,8,1,9,4,41,5,64512,87,0,4918487
7,0,2,0,5,0,8,22,4,0,7,0,8050207
9,2,2,2,6,8,1,30,3,3456,29,0,1862229
1,9,9,1,5,0,3,28,1,0,91,0,3051991
3,1,6,9,2,2,1,24,6,648,13,0,1229613
1,8,7,9,9,0,2,36,9,0,81,0,2099781
9,5,5,2,8,9,9,47,2,291600,59,0,9982559
3,4,7,3,4,1,8,30,3,8064,43,0,8143743
1,8,9,6,0,5,5,34,7,0,81,0,5506981
3,8,9,2,0,6,1,29,2,0,83,0,1602983
7,2,9,6,8,6,8,46,1,290304,27,0,8686927
1,6,3,8,9,4,8,39,3,41472,61,0,8498361
1,5,0,1,4,4,7,22,4,0,51,0,7441051
3,1,8,6,6,1,4,29,2,3456,13,0,4166813
3,9,0,1,9,5,5,32,5,0,93,0,5591093
7,6,8,7,6,8,5,47,2,564480,67,0,5867867
7,6,4,0,3,6,3,29,2,0,67,0,3630467
9,4,8,7,1,9,6,44,8,108864,49,0,6917849
7,5,2,2,9,2,7,34,7,17640,57,0,7292257
7,5,6,9,9,9,5,50,5,765450,57,0,5999657
1,2,4,0,0,4,1,12,3,0,21,0,1400421
1,1,2,2,7,2,8,23,5,448,11,0,8272211
1,7,6,6,5,6,8,39,3,60480,71,0,8656671
1,3,7,6,6,1,7,31,4,5292,31,0,7166731
9,2,4,7,8,9,7,46,1,254016,29,0,7987429
1,2,1,8,7,1,4,24,6,448,21,0,4178121
7,5,2,8,6,0,5,33,6,0,57,0,5068257
7,4,9,4,8,3,7,42,6,169344,47,0,7384947
7,2,9,4,6,5,7,40,4,105840,27,0,7564927
1,8,2,9,8,9,8,45,9,82944,81,0,8989281
7,7,0,9,3,8,6,40,4,0,77,0,6839077
9,6,0,2,1,8,9,35,8,0,69,0,9812069
1,0,8,2,3,0,7,21,3,0,1,0,7032801
1,1,0,8,5,3,3,21,3,0,11,0,3358011
9,4,0,2,7,2,9,33,6,0,49,0,9272049
3,7,8,3,1,9,7,38,2,31752,73,0,7913873
1,9,5,6,7,3,6,37,1,34020,91,0,6376591
3,4,5,4,0,6,4,26,8,0,43,0,4604543
1,9,7,0,6,1,2,26,8,0,91,0,2160791
7,3,6,2,5,5,3,31,4,18900,37,0,3552637
9,9,0,0,8,2,6,34,7,0,99,0,6280099
